Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.1363-3379-4602-70611..3,"Mar 31, 2017",9:16:56 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,광주광역시,500-110,KRW,390.00,1.000000,KRW,390.00
GPA.1396-4434-2463-52819..2,"Mar 31, 2017",9:17:54 PM PDT,,Charge,,Premium Service Monthly subscription (Family Locator by iSharing),com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,trhplte,TW,,242,TWD,50.00,36.855000,KRW,1843.00
GPA.1396-4434-2463-52819..2,"Mar 31, 2017",9:17:54 PM PDT,,Google fee,,Premium Service Monthly subscription (Family Locator by iSharing),com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,trhplte,TW,,242,TWD,-15.00,36.855000,KRW,-553.00
GPA.1316-0675-7482-49034..3,"Mar 31, 2017",9:22:55 PM PDT,,Charge,,Premium Service Monthly subscription (Family Locator by iSharing),com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,zeroflte,AU,,4561,AUD,2.99,853.230000,KRW,2551.00
GPA.1316-0675-7482-49034..3,"Mar 31, 2017",9:22:55 PM PDT,,Google fee,,Premium Service Monthly subscription (Family Locator by iSharing),com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,zeroflte,AU,,4561,AUD,-0.90,853.230000,KRW,-768.00
GPA.1369-7969-5983-83180..1,"Mar 31, 2017",9:25:53 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,nobleltektt,KR,서울특별시,130-070,KRW,3900.00,1.000000,KRW,3900.00
GPA.1369-7969-5983-83180..1,"Mar 31, 2017",9:25:53 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,nobleltektt,KR,서울특별시,130-070,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1369-7969-5983-83180..1,"Mar 31, 2017",9:25:53 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,nobleltektt,KR,서울특별시,130-070,KRW,390.00,1.000000,KRW,390.00
GPA.1306-2148-1774-55785..1,"Mar 31, 2017",9:27:25 PM PDT,,Charge,,"プレミアムサービス毎月購読 (位置情報アプリ: 大切な家族や友人の 居場所検索,防犯対策)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,SG305SH,JP,,8160901,JPY,299.00,10.040000,KRW,3002.00
GPA.1306-2148-1774-55785..1,"Mar 31, 2017",9:27:25 PM PDT,,Google fee,,"プレミアムサービス毎月購読 (位置情報アプリ: 大切な家族や友人の 居場所検索,防犯対策)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,SG305SH,JP,,8160901,JPY,-90.00,10.040000,KRW,-904.00
GPA.1329-7129-6671-29601..2,"Mar 31, 2017",9:29:11 PM PDT,,Charge,,"プレミアムサービス毎月購読 (位置情報アプリ: 大切な家族や友人の 居場所検索,防犯対策)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,501SO,JP,,342-0050,JPY,299.00,10.040000,KRW,3002.00
GPA.1329-7129-6671-29601..2,"Mar 31, 2017",9:29:11 PM PDT,,Google fee,,"プレミアムサービス毎月購読 (位置情報アプリ: 大切な家族や友人の 居場所検索,防犯対策)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,501SO,JP,,342-0050,JPY,-90.00,10.040000,KRW,-904.00
GPA.1344-3327-6955-75400..6,"Mar 31, 2017",9:29:41 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,,59688,USD,3.49,1118.400000,KRW,3904.00
GPA.1344-3327-6955-75400..6,"Mar 31, 2017",9:29:41 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,,59688,USD,-1.05,1118.400000,KRW,-1174.00
GPA.1344-3327-6955-75400..6,"Mar 31, 2017",9:29:41 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,,59688,USD,0.35,1118.400000,KRW,391.00
GPA.1325-8658-8511-72037..3,"Mar 31, 2017",9:29:50 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,zeroflteskt,KR,충청북도,361-150,KRW,3900.00,1.000000,KRW,3900.00
GPA.1325-8658-8511-72037..3,"Mar 31, 2017",9:29:50 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,zeroflteskt,KR,충청북도,361-150,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1325-8658-8511-72037..3,"Mar 31, 2017",9:29:50 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,zeroflteskt,KR,충청북도,361-150,KRW,390.00,1.000000,KRW,390.00
GPA.1385-8276-1416-88618..2,"Mar 31, 2017",9:50:44 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,a8elteskt,KR,,42401,KRW,3900.00,1.000000,KRW,3900.00
GPA.1385-8276-1416-88618..2,"Mar 31, 2017",9:50:44 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,a8elteskt,KR,,42401,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1385-8276-1416-88618..2,"Mar 31, 2017",9:50:44 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,a8elteskt,KR,,42401,KRW,390.00,1.000000,KRW,390.00
GPA.3324-0021-8065-28260..0,"Mar 31, 2017",9:58:39 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,,11481,KRW,3900.00,1.000000,KRW,3900.00
GPA.3324-0021-8065-28260..0,"Mar 31, 2017",9:58:39 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,,11481,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3324-0021-8065-28260..0,"Mar 31, 2017",9:58:39 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,,11481,KRW,390.00,1.000000,KRW,390.00
GPA.3364-5119-7748-83017,"Mar 31, 2017",10:12:39 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,대전광역시,306-817,KRW,3900.00,1.000000,KRW,3900.00
GPA.3364-5119-7748-83017,"Mar 31, 2017",10:12:39 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,대전광역시,306-817,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3364-5119-7748-83017,"Mar 31, 2017",10:12:39 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,pplus,KR,대전광역시,306-817,KRW,390.00,1.000000,KRW,390.00
GPA.3382-5945-3654-91747,"Mar 31, 2017",10:29:06 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경상남도,645-752,KRW,3900.00,1.000000,KRW,3900.00
GPA.3382-5945-3654-91747,"Mar 31, 2017",10:29:06 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경상남도,645-752,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3382-5945-3654-91747,"Mar 31, 2017",10:29:06 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경상남도,645-752,KRW,390.00,1.000000,KRW,390.00
GPA.3306-6728-0177-74039,"Mar 31, 2017",10:47:07 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,hero2lteskt,KR,부산광역시,47051,KRW,3900.00,1.000000,KRW,3900.00
GPA.3306-6728-0177-74039,"Mar 31, 2017",10:47:07 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,hero2lteskt,KR,부산광역시,47051,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3306-6728-0177-74039,"Mar 31, 2017",10:47:07 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,hero2lteskt,KR,부산광역시,47051,KRW,390.00,1.000000,KRW,390.00
GPA.3380-4933-0070-67310,"Mar 31, 2017",10:50:15 PM PDT,,Charge,,"프리미엄 서비스 매년 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.annual,nobleltektt,KR,경상남도,642-370,KRW,34900.00,1.000000,KRW,34900.00
GPA.3380-4933-0070-67310,"Mar 31, 2017",10:50:15 PM PDT,,Google fee,,"프리미엄 서비스 매년 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.annual,nobleltektt,KR,경상남도,642-370,KRW,-10470.00,1.000000,KRW,-10470.00
GPA.3380-4933-0070-67310,"Mar 31, 2017",10:50:15 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매년 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.annual,nobleltektt,KR,경상남도,642-370,KRW,3490.00,1.000000,KRW,3490.00
GPA.3320-9346-4905-01101,"Mar 31, 2017",10:50:59 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경기도,472-861,KRW,3900.00,1.000000,KRW,3900.00
GPA.3320-9346-4905-01101,"Mar 31, 2017",10:50:59 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경기도,472-861,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3320-9346-4905-01101,"Mar 31, 2017",10:50:59 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경기도,472-861,KRW,390.00,1.000000,KRW,390.00
GPA.3390-0147-6384-45606,"Mar 31, 2017",11:13:25 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,on7nlteskt,KR,경상북도,780-951,KRW,3900.00,1.000000,KRW,3900.00
GPA.3390-0147-6384-45606,"Mar 31, 2017",11:13:25 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,on7nlteskt,KR,경상북도,780-951,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3390-0147-6384-45606,"Mar 31, 2017",11:13:25 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,on7nlteskt,KR,경상북도,780-951,KRW,390.00,1.000000,KRW,390.00
GPA.3363-6604-7243-26889,"Mar 31, 2017",11:45:55 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,,11942,KRW,3900.00,1.000000,KRW,3900.00
GPA.3363-6604-7243-26889,"Mar 31, 2017",11:45:55 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,,11942,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3363-6604-7243-26889,"Mar 31, 2017",11:45:55 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,,11942,KRW,390.00,1.000000,KRW,390.00
GPA.3329-6124-5490-98535,"Mar 31, 2017",11:53:58 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,hero2ltektt,KR,전라남도,548-853,KRW,3900.00,1.000000,KRW,3900.00
GPA.3329-6124-5490-98535,"Mar 31, 2017",11:53:58 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,hero2ltektt,KR,전라남도,548-853,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3329-6124-5490-98535,"Mar 31, 2017",11:53:58 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,hero2ltektt,KR,전라남도,548-853,KRW,390.00,1.000000,KRW,390.00
GPA.3369-5094-3158-15377..0,"Apr 1, 2017",12:04:54 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,on7xeltektt,KR,,570-813,KRW,3900.00,1.000000,KRW,3900.00
GPA.3369-5094-3158-15377..0,"Apr 1, 2017",12:04:54 AM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,on7xeltektt,KR,,570-813,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3369-5094-3158-15377..0,"Apr 1, 2017",12:04:54 AM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,on7xeltektt,KR,,570-813,KRW,390.00,1.000000,KRW,390.00
GPA.1345-7913-5856-10888..1,"Apr 1, 2017",12:06:39 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,tre3caltelgt,KR,,02055,KRW,3900.00,1.000000,KRW,3900.00
GPA.1345-7913-5856-10888..1,"Apr 1, 2017",12:06:39 AM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,tre3caltelgt,KR,,02055,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1345-7913-5856-10888..1,"Apr 1, 2017",12:06:39 AM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,tre3caltelgt,KR,,02055,KRW,390.00,1.000000,KRW,390.00
GPA.1396-7920-8276-74184..2,"Apr 1, 2017",12:08:04 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,heroltelgt,KR,,42822,KRW,3900.00,1.000000,KRW,3900.00
GPA.1396-7920-8276-74184..2,"Apr 1, 2017",12:08:04 AM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,heroltelgt,KR,,42822,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1396-7920-8276-74184..2,"Apr 1, 2017",12:08:04 AM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,heroltelgt,KR,,42822,KRW,390.00,1.000000,KRW,390.00
GPA.3369-6130-3637-85159..0,"Apr 1, 2017",12:15:59 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,heroltelgt,KR,서울특별시,02577,KRW,3900.00,1.000000,KRW,3900.00
GPA.3369-6130-3637-85159..0,"Apr 1, 2017",12:15:59 AM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,heroltelgt,KR,서울특별시,02577,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3369-6130-3637-85159..0,"Apr 1, 2017",12:15:59 AM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,heroltelgt,KR,서울특별시,02577,KRW,390.00,1.000000,KRW,390.00
GPA.1359-4413-2868-17886..1,"Apr 1, 2017",12:16:57 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,tre3calteskt,KR,경기도,451-811,KRW,3900.00,1.000000,KRW,3900.00
GPA.1359-4413-2868-17886..1,"Apr 1, 2017",12:16:57 AM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,tre3calteskt,KR,경기도,451-811,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1359-4413-2868-17886..1,"Apr 1, 2017",12:16:57 AM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,tre3calteskt,KR,경기도,451-811,KRW,390.00,1.000000,KRW,390.00
GPA.1360-0512-6593-91613..1,"Apr 1, 2017",12:20:22 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경기도,413-861,KRW,3900.00,1.000000,KRW,3900.00
GPA.1360-0512-6593-91613..1,"Apr 1, 2017",12:20:22 AM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경기도,413-861,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1360-0512-6593-91613..1,"Apr 1, 2017",12:20:22 AM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,경기도,413-861,KRW,390.00,1.000000,KRW,390.00
GPA.3307-8105-1940-76619,"Apr 1, 2017",12:23:15 AM PDT,,Charge,,Premium Service Monthly subscription (Family Locator by iSharing),com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,A1601,ID,Kepulauan Riau,,IDR,9900.00,0.083958,KRW,831.00
GPA.3307-8105-1940-76619,"Apr 1, 2017",12:23:15 AM PDT,,Google fee,,Premium Service Monthly subscription (Family Locator by iSharing),com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,A1601,ID,Kepulauan Riau,,IDR,-2970.00,0.083958,KRW,-249.00
GPA.3343-3391-6638-49884..0,"Apr 1, 2017",12:23:42 AM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,p1,KR,,28584,KRW,3900.00,1.000000,KRW,3900.00
